x	y	rho	u	v	w	A11	A12	A13	A21	A22	A23	A31	A32	A33	omega	curlynorm	rho-rho0detA
-0.24375 	0 	1.00855 	-0.00532075 	-0.0999995 	0	1.00284	-0.000159882	0	0.000159958	1.00284	0	0	0	1.00284	-1.29378e-06	0.000981039	-5.81105e-07

-0.24125 	0 	1.00847 	-0.00524137 	-0.0999995 	0	1.00282	-0.000157375	0	0.000157451	1.00282	0	0	0	1.00282	-1.57797e-06	0.000976231	-5.78556e-07

-0.23875 	0 	1.0084 	-0.0051625 	-0.0999995 	0	1.00279	-0.000154885	0	0.00015496	1.00279	0	0	0	1.00279	-1.78766e-06	0.000970442	-5.75464e-07

-0.23625 	0 	1.00833 	-0.0050842 	-0.0999995 	0	1.00277	-0.000152412	0	0.000152486	1.00277	0	0	0	1.00277	-1.89578e-06	0.000964066	-5.7177e-07

-0.23375 	0 	1.00825 	-0.00500648 	-0.0999995 	0	1.00274	-0.000149957	0	0.000150031	1.00274	0	0	0	1.00274	-1.87596e-06	0.000957571	-5.67626e-07

-0.23125 	0 	1.00818 	-0.00492934 	-0.0999995 	0	1.00272	-0.000147519	0	0.000147593	1.00272	0	0	0	1.00272	-1.71783e-06	0.00095146	-5.63254e-07

-0.22875 	0 	1.00811 	-0.00485272 	-0.0999995 	0	1.0027	-0.000145097	0	0.000145171	1.0027	0	0	0	1.0027	-1.42671e-06	0.0009462	-5.58927e-07

-0.22625 	0 	1.00804 	-0.00477654 	-0.0999995 	0	1.00267	-0.000142687	0	0.000142761	1.00267	0	0	0	1.00267	-1.02072e-06	0.000942154	-5.5493e-07

-0.22375 	0 	1.00797 	-0.00470069 	-0.0999995 	0	1.00265	-0.000140285	0	0.000140359	1.00265	0	0	0	1.00265	-5.64021e-07	0.00093952	-5.51489e-07

-0.22125 	0 	1.0079 	-0.00462509 	-0.0999995 	0	1.00263	-0.000137887	0	0.000137961	1.00263	0	0	0	1.00263	-1.9093e-07	0.000938258	-5.48658e-07

-0.21875 	0 	1.00783 	-0.00454962 	-0.0999995 	0	1.0026	-0.000135491	0	0.000135565	1.0026	0	0	0	1.0026	2.0607e-08	0.000938099	-5.46716e-07

-0.21625 	0 	1.00776 	-0.00447424 	-0.0999995 	0	1.00258	-0.000133096	0	0.00013317	1.00258	0	0	0	1.00258	7.14926e-08	0.00093876	-5.4561e-07

